지점,발전기명,위도,경도,발전사,설비용량(MW)
서산,당진태양광,37.05075,126.5103,한국동서발전,2.7
울산,울산태양광#1,35.47765,129.3808,한국동서발전,0.5
동해,동해바이오화력본부 태양광,37.48313,129.1453,한국동서발전,2
보령,보령태양광,36.40191596,126.4958751,한국중부발전,3.135
보령,신보령태양광,36.384039546857,126.490749942035,한국중부발전,4.038
인천,인천태양광,37.5114279,126.6079808,한국중부발전,1.575
인천,인천아시아드태양광,37.5642135,127.0016985,한국중부발전,2.743
서울,서울태양광,37.54394733,126.9196472,한국중부발전,1.301
홍성,서천태양광,36.1463852,126.5011901,한국중부발전,3.844
제주,제주태양광,33.5345853,126.5953756,한국중부발전,1.149
제주,제주대태양광,33.4572918,126.5643222,한국중부발전,1.087
서귀포,제주성읍리태양광,33.41243322,126.8039684,한국중부발전,1.994
세종,세종태양광,36.4682813,127.2476897,한국중부발전,0.327
여수,여수엑스포태양광,34.7531967,127.754275,한국중부발전,2.218
인천,영흥태양광,37.2619,126.4573,한국남동발전,8.6
예천,예천태양광,36.6577,128.4529,한국남동발전,2.006
구미,구미태양광,36.1512,128.4427,한국남동발전,0.992
진주,경상대태양광,35.1791,128.1076,한국남동발전,0.905
광양,광양항세방태양광,34.9334,127.7591,한국남동발전,3
고흥,고흥만수상태양광,34.637,127.2639,한국남동발전,83
