구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,"3,034.95","3,980.64","4,907.55","5,397.13","5,047.46","4,988.7","5,118.98","4,072.12","4,614.26","3,995.58","3,253.8","3,243.29"
부산,"10,180.04","11,687.18","14,465.87","18,000","16,325.32","16,162.96","15,854.89","13,345.26","11,193.58","14,637.56","12,594.99","12,618.74"
대구,"15,669.84","17,926.57","21,210.48","25,636","23,816.1","23,778.58","25,428.32","19,889.83","18,522.19","22,404.12","19,138.16","20,152.38"
인천,"6,747.23","8,403.46","10,827.66","12,019.95","11,675.47","11,307.62","11,824.01","9,216.13","9,940.07","8,752.92","6,656.17","6,704.51"
광주,"10,735.14","16,070.55","23,853.83","27,073.72","26,813.96","26,115.24","24,456.06","22,480.3","19,551.06","22,570.49","16,417.78","14,562.55"
대전,"2,145.22","3,001.15","3,706.24","4,351.98","3,962.23","4,239.97","4,499.87","3,462.21","3,514.94","3,667.56","2,734.68","2,587.77"
울산,"5,691.22","6,663.84","7,711.13","9,333.92","8,745.09","8,291","8,204.16","6,654.68","5,791.38","7,202.58","6,580.49","6,708.67"
세종,"3,098.09","4,435.98","5,640.61","6,609.69","6,267.45","6,477.4","6,801.4","5,120.37","5,557.56","5,397.9","4,018.18","3,710.69"
경기,"66,537.36","85,837.05","112,209.13","126,309.41","121,257.92","124,658.24","133,539.61","101,949.02","109,733.12","98,738.26","76,244.21","76,561.7"
충북,"61,316.35","84,643.68","100,554.36","118,854.3","108,564.65","115,896.28","124,219.38","91,887.32","95,643.74","94,269.66","71,667.53","72,959.2"
충남,"136,665.32","199,237.16","256,824.24","287,655.89","270,329.31","281,286.79","292,880.13","231,995.11","238,789.21","240,817.09","178,021.79","162,089.95"
전남,"249,114.24","315,887.97","431,247.83","477,830.41","464,376.25","461,805.67","426,952.85","408,453.19","342,752.01","425,318.83","323,326.35","289,346.6"
경북,"151,526.99","186,948.95","212,122.07","256,102.64","234,714.51","239,671.12","257,465.39","193,855.42","187,177.31","210,790.23","183,666.37","194,149.07"
경남,"89,630.37","104,408.64","126,679.59","146,482.17","137,507.8","130,981.65","131,958.94","113,859.25","93,931.2","123,199.86","102,115.98","108,576.89"
제주,"28,458","39,122.75","50,554.02","62,277.15","63,260.39","55,369.73","48,310.31","48,475.88","42,312.4","55,073.58","45,120.61","35,182.56"
강원,"89,760.12","121,608.83","143,234.98","168,182.65","158,589.59","156,917.38","175,399.9","122,200.59","134,279.85","120,398.55","106,350.75","100,205.3"
전북,"184,965.7","267,540.09","348,533.56","405,735.81","374,277.53","390,947.74","384,979.36","335,586.94","309,093.01","347,652.73","256,921.76","246,116.53"
