R2,RMSE,MAE,발전기명
0.6942356781391794,0.7018420197223181,0.4350976093560503,경상대태양광
0.6991175068629006,57.354818766952576,37.103809857485274,고흥만수상태양광
0.7342292465208571,2.141867805273918,1.3994871703603187,광양항세방태양광
0.7966890704777674,0.6285494322344961,0.44426080413508284,구미태양광
0.6903736696518055,2.172653692046969,1.4722757906101294,당진태양광
0.711125852296203,1.2379089192311417,0.8056246333119299,동해바이오화력본부태양광
0.8095418212624826,2.030797877816806,1.5267622216424732,보령태양광
0.7444078912511263,0.9491065073235423,0.701878856150468,서울태양광
0.8384619665446327,2.233332098762269,1.7279023533816729,서천태양광
0.8611538135287135,0.15915029448576398,0.12127484895745771,세종태양광
0.7739879176405663,2.8315509383169957,2.1092126372052626,신보령태양광
0.828913938978533,1.3744038231714522,1.028555344891862,여수엑스포태양광
0.6979917335382007,4.794881589800426,3.4003588472416895,영흥태양광
0.4598892730837222,2.4461568965352107,1.7234493287754418,예천태양광
0.7355867112418957,0.37454763625435306,0.2410117082525054,울산태양광#1
0.8536608380483985,1.6965643302302027,1.2524611549452407,인천아시아드태양광
0.8235533924933747,0.8735429404093171,0.6299344025150208,인천태양광
0.7922869509075288,0.81006784619444,0.6316124801437089,제주대태양광
0.7065099894635751,1.744043374295626,1.345298265073234,제주성읍리태양광
0.8470428081187145,0.6420813663369699,0.49585420651378626,제주태양광
