발전기명,남은 변수 수,R²,제거된 변수,남은 변수
경상대태양광,9,0.8166,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
경상대태양광,8,0.8171,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
경상대태양광,7,0.8168,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
경상대태양광,6,0.8172,평균운량,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량, 평균운량"
경상대태양광,5,0.8093,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
경상대태양광,4,0.8118,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
고흥만수상태양광,9,0.7219,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
고흥만수상태양광,8,0.7207,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
고흥만수상태양광,7,0.7214,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
고흥만수상태양광,6,0.7184,평균운량,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량, 평균운량"
고흥만수상태양광,5,0.7193,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
고흥만수상태양광,4,0.7045,평균습도,"평균기온, 평균습도, 일조시간, 일사량"
광양항세방태양광,9,0.8216,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
광양항세방태양광,8,0.8227,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
광양항세방태양광,7,0.8221,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
광양항세방태양광,6,0.8276,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
광양항세방태양광,5,0.8324,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
광양항세방태양광,4,0.8336,평균습도,"평균기온, 평균습도, 일조시간, 일사량"
구미태양광,9,0.8474,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
구미태양광,8,0.8473,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
구미태양광,7,0.8476,평균풍속,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
구미태양광,6,0.846,총강수량,"평균기온, 평균습도, 총강수량, 일조시간, 일사량, 평균운량"
구미태양광,5,0.8312,평균운량,"평균기온, 평균습도, 일조시간, 일사량, 평균운량"
구미태양광,4,0.8378,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
당진태양광,9,0.807,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
당진태양광,8,0.8073,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
당진태양광,7,0.8076,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
당진태양광,6,0.8069,평균운량,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량, 평균운량"
당진태양광,5,0.8104,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
당진태양광,4,0.7932,평균습도,"평균기온, 평균습도, 일조시간, 일사량"
동해바이오화력본부태양광,9,0.7865,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
동해바이오화력본부태양광,8,0.7865,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
동해바이오화력본부태양광,7,0.789,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
동해바이오화력본부태양광,6,0.7973,평균풍속,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
동해바이오화력본부태양광,5,0.7973,총강수량,"평균기온, 평균습도, 총강수량, 일조시간, 일사량"
동해바이오화력본부태양광,4,0.7944,평균습도,"평균기온, 평균습도, 일조시간, 일사량"
보령태양광,9,0.8055,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
보령태양광,8,0.8046,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
보령태양광,7,0.8028,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
보령태양광,6,0.7963,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
보령태양광,5,0.7914,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
보령태양광,4,0.7704,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
서울태양광,9,0.8335,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
서울태양광,8,0.8335,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
서울태양광,7,0.8333,평균풍속,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
서울태양광,6,0.8265,평균운량,"평균기온, 평균습도, 총강수량, 일조시간, 일사량, 평균운량"
서울태양광,5,0.825,평균기온,"평균기온, 평균습도, 총강수량, 일조시간, 일사량"
서울태양광,4,0.8198,평균습도,"평균습도, 총강수량, 일조시간, 일사량"
서천태양광,9,0.8487,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
서천태양광,8,0.8494,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
서천태양광,7,0.8489,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
서천태양광,6,0.8493,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
서천태양광,5,0.8578,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
서천태양광,4,0.8626,평균습도,"평균기온, 평균습도, 일조시간, 일사량"
세종태양광,9,0.8519,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
세종태양광,8,0.8521,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
세종태양광,7,0.8518,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
세종태양광,6,0.8477,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
세종태양광,5,0.8435,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
세종태양광,4,0.8413,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
신보령태양광,9,0.8371,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
신보령태양광,8,0.8364,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
신보령태양광,7,0.8351,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
신보령태양광,6,0.8371,평균운량,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량, 평균운량"
신보령태양광,5,0.8359,평균기온,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
신보령태양광,4,0.817,평균풍속,"평균습도, 평균풍속, 일조시간, 일사량"
여수엑스포태양광,9,0.9132,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
여수엑스포태양광,8,0.9136,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
여수엑스포태양광,7,0.9147,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
여수엑스포태양광,6,0.9152,평균풍속,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
여수엑스포태양광,5,0.9134,총강수량,"평균기온, 평균습도, 총강수량, 일조시간, 일사량"
여수엑스포태양광,4,0.9029,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
영흥태양광,9,0.7046,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
영흥태양광,8,0.7063,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
영흥태양광,7,0.7013,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
영흥태양광,6,0.6961,평균운량,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량, 평균운량"
영흥태양광,5,0.6917,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
영흥태양광,4,0.6853,평균습도,"평균기온, 평균습도, 일조시간, 일사량"
예천태양광,9,0.7358,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
예천태양광,8,0.7374,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
예천태양광,7,0.736,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
예천태양광,6,0.7235,평균운량,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량, 평균운량"
예천태양광,5,0.7224,평균기온,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
예천태양광,4,0.7023,평균풍속,"평균습도, 평균풍속, 일조시간, 일사량"
울산태양광#1,9,0.8082,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
울산태양광#1,8,0.8079,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
울산태양광#1,7,0.808,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
울산태양광#1,6,0.8066,평균풍속,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
울산태양광#1,5,0.798,총강수량,"평균기온, 평균습도, 총강수량, 일조시간, 일사량"
울산태양광#1,4,0.7904,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
인천아시아드태양광,9,0.7166,총적설량,"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
인천아시아드태양광,8,0.7159,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
인천아시아드태양광,7,0.7132,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
인천아시아드태양광,6,0.7281,평균운량,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량, 평균운량"
인천아시아드태양광,5,0.7194,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
인천아시아드태양광,4,0.7331,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
인천태양광,9,0.8207,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
인천태양광,8,0.8215,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
인천태양광,7,0.8215,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
인천태양광,6,0.8178,평균풍속,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
인천태양광,5,0.8139,총강수량,"평균기온, 평균습도, 총강수량, 일조시간, 일사량"
인천태양광,4,0.7904,평균습도,"평균기온, 평균습도, 일조시간, 일사량"
제주대태양광,9,0.7997,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
제주대태양광,8,0.799,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
제주대태양광,7,0.7988,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
제주대태양광,6,0.7981,총강수량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
제주대태양광,5,0.7961,평균풍속,"평균기온, 평균습도, 평균풍속, 일조시간, 일사량"
제주대태양광,4,0.7718,평균기온,"평균기온, 평균습도, 일조시간, 일사량"
제주성읍리태양광,9,0.728,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
제주성읍리태양광,8,0.7289,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
제주성읍리태양광,7,0.7279,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
제주성읍리태양광,6,0.7274,평균풍속,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
제주성읍리태양광,5,0.7181,평균습도,"평균기온, 평균습도, 총강수량, 일조시간, 일사량"
제주성읍리태양광,4,0.713,평균기온,"평균기온, 총강수량, 일조시간, 일사량"
제주태양광,9,0.8272,설비용량(MW),"설비용량(MW), 평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
제주태양광,8,0.8273,총적설량,"평균기온, 평균습도, 총강수량, 총적설량, 평균풍속, 일조시간, 일사량, 평균운량"
제주태양광,7,0.83,평균운량,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량, 평균운량"
제주태양광,6,0.8269,평균습도,"평균기온, 평균습도, 총강수량, 평균풍속, 일조시간, 일사량"
제주태양광,5,0.8206,평균풍속,"평균기온, 총강수량, 평균풍속, 일조시간, 일사량"
제주태양광,4,0.8244,총강수량,"평균기온, 총강수량, 일조시간, 일사량"
