발전기명,R2,RMSE,MAE
경상대태양광,0.8173910757954619,0.5286212793800165,0.35379888618923366
고흥만수상태양광,0.6813759113440434,59.69533453568032,37.48852470450175
광양항세방태양광,0.8201351337684288,1.7647266800030472,1.2770976437778117
구미태양광,0.8427304744552444,0.5486014385671647,0.40526536563899135
당진태양광,0.7989650083344205,1.8214326536030627,1.3096235392796514
동해바이오화력본부태양광,0.7907541461240201,1.1583963269453816,0.7162518896985974
보령태양광,0.7777321725883902,2.1938412069898274,1.6076433766572138
서울태양광,0.837690795642511,0.8164881537595747,0.6224673128902106
서천태양광,0.8467536036489692,2.233393878504728,1.7316165879571095
세종태양광,0.8465479248203418,0.1673119078662345,0.12459961737275123
신보령태양광,0.8273637981531701,2.7648851194581954,2.113854806614416
여수엑스포태양광,0.903108527724588,1.1550586693042637,0.9066406142951086
영흥태양광,0.6977560660752872,4.640449617747088,3.3031726540228994
예천태양광,0.7424229695645707,1.526227836000044,1.1197192656172856
울산태양광#1,0.8072169593738076,0.31505879319662927,0.205269408915715
인천아시아드태양광,0.6944593451154379,1.4271801654881466,1.0663702671911361
인천태양광,0.7886340946587811,0.9560818396027566,0.6584907373263976
제주대태양광,0.7931263417412906,0.7907485970803677,0.6199780239952662
제주성읍리태양광,0.7057969318279635,1.7461607359736584,1.3443844863269805
제주태양광,0.8092921932598416,0.7116762585693376,0.515846890465728
