변수명,중요도,발전기명
일조시간,0.3806033,경상대태양광
일사량,0.37805903,경상대태양광
평균습도,0.062333338,경상대태양광
평균기온,0.043665636,경상대태양광
총강수량,0.043081842,경상대태양광
총적설량,0.039142236,경상대태양광
평균운량,0.027980158,경상대태양광
평균풍속,0.025134493,경상대태양광
설비용량(MW),0.0,경상대태양광
일조시간,0.4269602,고흥만수상태양광
일사량,0.38650152,고흥만수상태양광
평균운량,0.043144856,고흥만수상태양광
총강수량,0.037398133,고흥만수상태양광
평균기온,0.032963514,고흥만수상태양광
평균풍속,0.030459655,고흥만수상태양광
평균습도,0.029219616,고흥만수상태양광
총적설량,0.013352525,고흥만수상태양광
설비용량(MW),0.0,고흥만수상태양광
일사량,0.6546571,광양항세방태양광
일조시간,0.104911774,광양항세방태양광
총강수량,0.07469705,광양항세방태양광
평균기온,0.042634707,광양항세방태양광
총적설량,0.036588557,광양항세방태양광
평균운량,0.03144763,광양항세방태양광
평균습도,0.029459832,광양항세방태양광
평균풍속,0.025603332,광양항세방태양광
설비용량(MW),0.0,광양항세방태양광
일조시간,0.42540488,구미태양광
일사량,0.28130895,구미태양광
총강수량,0.099637076,구미태양광
평균습도,0.056410458,구미태양광
평균운량,0.044112276,구미태양광
평균기온,0.042475782,구미태양광
평균풍속,0.026440354,구미태양광
총적설량,0.02421027,구미태양광
설비용량(MW),0.0,구미태양광
일사량,0.6067395,당진태양광
일조시간,0.14458515,당진태양광
총강수량,0.06844121,당진태양광
총적설량,0.042589106,당진태양광
평균기온,0.038184665,당진태양광
평균운량,0.035925828,당진태양광
평균풍속,0.033491455,당진태양광
평균습도,0.03004299,당진태양광
설비용량(MW),0.0,당진태양광
일사량,0.62423205,동해바이오화력본부태양광
일조시간,0.12735084,동해바이오화력본부태양광
총적설량,0.08302988,동해바이오화력본부태양광
총강수량,0.058800332,동해바이오화력본부태양광
평균기온,0.031008184,동해바이오화력본부태양광
평균습도,0.028922174,동해바이오화력본부태양광
평균운량,0.02826449,동해바이오화력본부태양광
평균풍속,0.018391978,동해바이오화력본부태양광
설비용량(MW),0.0,동해바이오화력본부태양광
일사량,0.5631881,보령태양광
일조시간,0.22720513,보령태양광
총강수량,0.054469824,보령태양광
평균습도,0.038282137,보령태양광
총적설량,0.027694058,보령태양광
평균운량,0.025221696,보령태양광
평균풍속,0.023843024,보령태양광
평균기온,0.021665882,보령태양광
설비용량(MW),0.018430257,보령태양광
일조시간,0.42986566,서울태양광
일사량,0.32352597,서울태양광
총강수량,0.1155662,서울태양광
평균습도,0.0327001,서울태양광
평균운량,0.03224497,서울태양광
평균기온,0.024987109,서울태양광
총적설량,0.022891454,서울태양광
평균풍속,0.018218558,서울태양광
설비용량(MW),0.0,서울태양광
일사량,0.71504724,서천태양광
일조시간,0.10171876,서천태양광
총강수량,0.05209206,서천태양광
총적설량,0.034718916,서천태양광
평균기온,0.027686551,서천태양광
평균풍속,0.0248863,서천태양광
평균습도,0.022618355,서천태양광
평균운량,0.021231877,서천태양광
설비용량(MW),0.0,서천태양광
일사량,0.7476975,세종태양광
일조시간,0.11963154,세종태양광
평균습도,0.048564844,세종태양광
총강수량,0.028056046,세종태양광
평균기온,0.023152199,세종태양광
평균운량,0.017420182,세종태양광
평균풍속,0.012220484,세종태양광
총적설량,0.0032572546,세종태양광
설비용량(MW),0.0,세종태양광
일사량,0.53443956,신보령태양광
일조시간,0.25485256,신보령태양광
총강수량,0.0474936,신보령태양광
평균습도,0.042856816,신보령태양광
총적설량,0.03922839,신보령태양광
평균운량,0.029748073,신보령태양광
평균기온,0.026265228,신보령태양광
평균풍속,0.02511575,신보령태양광
설비용량(MW),0.0,신보령태양광
일조시간,0.4446491,여수엑스포태양광
일사량,0.27547076,여수엑스포태양광
총강수량,0.11679435,여수엑스포태양광
총적설량,0.042735882,여수엑스포태양광
평균습도,0.04169529,여수엑스포태양광
평균기온,0.03171194,여수엑스포태양광
평균운량,0.024941562,여수엑스포태양광
평균풍속,0.022001097,여수엑스포태양광
설비용량(MW),0.0,여수엑스포태양광
일조시간,0.41984156,영흥태양광
일사량,0.28318745,영흥태양광
총강수량,0.0913194,영흥태양광
평균습도,0.052262202,영흥태양광
평균기온,0.04562522,영흥태양광
평균운량,0.045171242,영흥태양광
평균풍속,0.039754037,영흥태양광
총적설량,0.022838844,영흥태양광
설비용량(MW),0.0,영흥태양광
일조시간,0.37002224,예천태양광
일사량,0.23529854,예천태양광
총강수량,0.11511118,예천태양광
평균습도,0.10091748,예천태양광
평균풍속,0.046965208,예천태양광
평균기온,0.046332248,예천태양광
평균운량,0.04508934,예천태양광
총적설량,0.04026375,예천태양광
설비용량(MW),0.0,예천태양광
일사량,0.51410586,울산태양광#1
일조시간,0.29541877,울산태양광#1
총강수량,0.0752116,울산태양광#1
평균습도,0.031508196,울산태양광#1
평균운량,0.029511021,울산태양광#1
평균기온,0.026848452,울산태양광#1
평균풍속,0.021324804,울산태양광#1
총적설량,0.006071251,울산태양광#1
설비용량(MW),0.0,울산태양광#1
일조시간,0.39015365,인천아시아드태양광
일사량,0.33610082,인천아시아드태양광
평균습도,0.073430344,인천아시아드태양광
평균운량,0.056270357,인천아시아드태양광
평균기온,0.041240614,인천아시아드태양광
평균풍속,0.032046735,인천아시아드태양광
총강수량,0.029457418,인천아시아드태양광
총적설량,0.020860247,인천아시아드태양광
설비용량(MW),0.020439854,인천아시아드태양광
일사량,0.4612592,인천태양광
일조시간,0.30984488,인천태양광
총강수량,0.08765169,인천태양광
평균기온,0.03967455,인천태양광
평균운량,0.02995118,인천태양광
평균습도,0.026549103,인천태양광
평균풍속,0.024196709,인천태양광
총적설량,0.020872809,인천태양광
설비용량(MW),0.0,인천태양광
일사량,0.59302235,제주대태양광
일조시간,0.12036828,제주대태양광
총강수량,0.06782571,제주대태양광
총적설량,0.050734915,제주대태양광
평균습도,0.049305752,제주대태양광
평균기온,0.043141752,제주대태양광
평균풍속,0.041106798,제주대태양광
평균운량,0.03449445,제주대태양광
설비용량(MW),0.0,제주대태양광
일사량,0.4118644,제주성읍리태양광
일조시간,0.26551133,제주성읍리태양광
총강수량,0.12964287,제주성읍리태양광
평균운량,0.047439802,제주성읍리태양광
평균습도,0.043239895,제주성읍리태양광
평균기온,0.039208163,제주성읍리태양광
평균풍속,0.034803778,제주성읍리태양광
총적설량,0.028289678,제주성읍리태양광
설비용량(MW),0.0,제주성읍리태양광
일사량,0.7361985,제주태양광
일조시간,0.09590131,제주태양광
총강수량,0.052918673,제주태양광
평균풍속,0.026931051,제주태양광
평균운량,0.024983685,제주태양광
총적설량,0.024768261,제주태양광
평균기온,0.02078511,제주태양광
평균습도,0.017513439,제주태양광
설비용량(MW),0.0,제주태양광
