연도,광역지자체,태양광
2021,서울,"244,804"
2021,부산,"268,850"
2021,대구,"203,414"
2021,인천,"222,103"
2021,광주,"323,404"
2021,대전,"107,759"
2021,울산,"147,698"
2021,세종,"94,225"
2021,경기,"1,764,822"
2021,강원,"1,831,240"
2021,충북,"1,407,403"
2021,충남,"3,094,979"
2021,전북,"4,231,407"
2021,전남,"5,198,466"
2021,경북,"3,076,962"
2021,경남,"1,823,756"
2021,제주,"676,330"
2022,서울,"290,528"
2022,부산,"324,351"
2022,대구,"253,577"
2022,인천,"258,249"
2022,광주,"390,494"
2022,대전,"135,265"
2022,울산,"177,458"
2022,세종,"112,270"
2022,경기,"2,133,592"
2022,강원,"2,181,578"
2022,충북,"1,711,676"
2022,충남,"3,693,682"
2022,전북,"5,534,009"
2022,전남,"6,376,158"
2022,경북,"4,085,780"
2022,경남,"2,279,853"
2022,제주,"787,739"
2023,서울,"272,765"
2023,부산,"366,024"
2023,대구,"497,336"
2023,인천,"267,782"
2023,광주,"404,724"
2023,대전,"138,597"
2023,울산,"182,853"
2023,세종,"123,817"
2023,경기,"2,346,126"
2023,강원,"2,315,785"
2023,충북,"1,882,953"
2023,충남,"3,991,277"
2023,전북,"5,764,753"
2023,전남,"7,086,350"
2023,경북,"4,385,932"
2023,경남,"2,446,555"
2023,제주,"762,818"
